Effect,ReferenceLevel,ComparedLevel,Contrast,East,West,EastMinusWest,AbsEastMinusWest
Age,Elderly,Young,Young - Elderly,0.063519843502408,0.0872978184344522,-0.0237779749320443,0.0237779749320443
Fitness,Large,Fit,Fit - Large,0.0630230852842096,0.0652941600136188,-0.00227107472940924,0.00227107472940924
Gender,Male,Female,Female - Male,0.238962340762724,0.232012143540858,0.00695019722186538,0.00695019722186538
Intervention,Omission,Commission,Commission - Omission,0.274010426545222,0.301112628064534,-0.027102201519312,0.027102201519312
Law,Illegal,Legal,Legal - Illegal,0.719537275064266,0.707455012853469,0.0120822622107972,0.0120822622107972
No. Characters,Less,More,More - Less,0.712430210291559,0.748072284135044,-0.0356420738434851,0.0356420738434851
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.489943990332337,0.424497597821749,0.065446392510588,0.065446392510588
Social Status,Low,High,High - Low,0.626750297238946,0.683353385840935,-0.0566030886019886,0.0566030886019886
Species,Pets,Humans,Humans - Pets,0.829118014148263,0.836856091434945,-0.0077380772866823,0.0077380772866823
