Effect,DiffNumberOFCharacters,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_Australian,AUS,West,Australian
No. Characters,1,Less,More,More - Less,0.533319632012316,0.095683143593152,74,West_Brazilian,BRA,West,Brazilian
No. Characters,2,Less,More,More - Less,0.682594002543181,0.118551058031204,40,West_Brazilian,BRA,West,Brazilian
No. Characters,3,Less,More,More - Less,0.834147521830464,0.117589020789299,24,West_Brazilian,BRA,West,Brazilian
No. Characters,4,Less,More,More - Less,1,0,8,West_Brazilian,BRA,West,Brazilian
No. Characters,1,Less,More,More - Less,0.561441675817431,0.0932354226341237,74,West_British,GBR,West,British
No. Characters,2,Less,More,More - Less,0.823663334746212,0.0919923782590523,40,West_British,GBR,West,British
No. Characters,3,Less,More,More - Less,0.834147521830464,0.117589020789299,24,West_British,GBR,West,British
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_British,GBR,West,British
No. Characters,1,Less,More,More - Less,0.659252863747017,0.0871226845310449,74,West_Canadian,CAN,West,Canadian
No. Characters,2,Less,More,More - Less,0.823663334746212,0.0919923782590523,40,West_Canadian,CAN,West,Canadian
No. Characters,3,Less,More,More - Less,0.834147521830463,0.117589020789299,24,West_Canadian,CAN,West,Canadian
No. Characters,4,Less,More,More - Less,1,2.22514129655875e-17,8,West_Canadian,CAN,West,Canadian
No. Characters,1,Less,More,More - Less,0.740708861885207,0.0774462593200216,74,West_German,DEU,West,German
No. Characters,2,Less,More,More - Less,0.823663334746212,0.0919923782590524,40,West_German,DEU,West,German
No. Characters,3,Less,More,More - Less,0.834147521830463,0.117589020789299,24,West_German,DEU,West,German
No. Characters,4,Less,More,More - Less,1,1.09009215643279e-16,8,West_German,DEU,West,German
No. Characters,1,Less,More,More - Less,0.725458697754132,0.0777394643781136,74,West_Italian,ITA,West,Italian
No. Characters,2,Less,More,More - Less,0.845255627958481,0.0861999283511686,40,West_Italian,ITA,West,Italian
No. Characters,3,Less,More,More - Less,0.884366424740585,0.102310009915022,24,West_Italian,ITA,West,Italian
No. Characters,4,Less,More,More - Less,1,8.61793518453044e-17,8,West_Italian,ITA,West,Italian
No. Characters,1,Less,More,More - Less,0.579735967646567,0.0907828077069721,74,West_Polish,POL,West,Polish
No. Characters,2,Less,More,More - Less,0.823663334746213,0.0919923782590523,40,West_Polish,POL,West,Polish
No. Characters,3,Less,More,More - Less,0.834147521830463,0.117589020789299,24,West_Polish,POL,West,Polish
No. Characters,4,Less,More,More - Less,1,2.22514129655876e-17,8,West_Polish,POL,West,Polish
No. Characters,1,Less,More,More - Less,0.532875736518302,0.0990079917242982,74,West_Russian,RUS,West,Russian
No. Characters,2,Less,More,More - Less,0.823663334746212,0.0919923782590524,40,West_Russian,RUS,West,Russian
No. Characters,3,Less,More,More - Less,1,2.13712767831873e-17,24,West_Russian,RUS,West,Russian
No. Characters,4,Less,More,More - Less,1,2.22514129655876e-17,8,West_Russian,RUS,West,Russian
No. Characters,1,Less,More,More - Less,0.623108175582758,0.0884750573299754,74,West_Spanish,ESP,West,Spanish
No. Characters,2,Less,More,More - Less,0.823663334746212,0.0919923782590523,40,West_Spanish,ESP,West,Spanish
No. Characters,3,Less,More,More - Less,0.834147521830463,0.117589020789299,24,West_Spanish,ESP,West,Spanish
No. Characters,4,Less,More,More - Less,1,7.7081155593189e-17,8,West_Spanish,ESP,West,Spanish
