Effect,UserCountry3,PersonaGroup,PersonaCluster,PersonaNationality,HumanEstimate,HumanSE,NeutralEstimate,NeutralSE,NeutralN,BaselineDifferenceFromHuman,BaselineAbsDifferenceFromHuman,BaselineSquaredDifferenceFromHuman
Gender,CHN,East_Chinese,East,Chinese,0.103895206,0.009532089,0.142263303,0.069227278,198,0.038368097,0.038368097,0.00147211086740141
Gender,DEU,West_German,West,German,0.094736646,0.001849531,0.142263303,0.069227278,198,0.047526657,0.047526657,0.00225878312559565
Gender,ESP,West_Spanish,West,Spanish,0.130620426,0.002848173,0.142263303,0.069227278,198,0.011642877,0.011642877,0.000135556584837129
Gender,GBR,West_British,West,British,0.096612764,0.002034295,0.142263303,0.069227278,198,0.045650539,0.045650539,0.00208397171099052
Gender,HKG,East_HongKonger,East,HongKonger,0.059300481,0.007468899,0.142263303,0.069227278,198,0.082962822,0.082962822,0.00688282983420369
Gender,IDN,East_Indonesian,East,Indonesian,0.102064334,0.008786736,0.142263303,0.069227278,198,0.040198969,0.040198969,0.00161595710866296
Gender,IND,East_Indian,East,Indian,0.123460926,0.007054397,0.142263303,0.069227278,198,0.018802377,0.018802377,0.000353529380850129
Gender,ITA,West_Italian,West,Italian,0.114895433,0.003152363,0.142263303,0.069227278,198,0.02736787,0.02736787,0.0007490003083369
Gender,JPN,East_Japanese,East,Japanese,0.094794482,0.003090059,0.142263303,0.069227278,198,0.047468821,0.047468821,0.00225328896713004
Gender,KOR,East_Korean,East,Korean,0.121054384,0.006838476,0.142263303,0.069227278,198,0.021208919,0.021208919,0.000449818245148561
Gender,MYS,East_Malaysian,East,Malaysian,0.099458326,0.009654075,0.142263303,0.069227278,198,0.042804977,0.042804977,0.00183226605597053
Gender,POL,West_Polish,West,Polish,0.087144091,0.002950284,0.142263303,0.069227278,198,0.055119212,0.055119212,0.00303812753150094
Gender,RUS,West_Russian,West,Russian,0.037161347,0.002550194,0.142263303,0.069227278,198,0.105101956,0.105101956,0.0110464211550259
Gender,SAU,East_SaudiArabian,East,SaudiArabian,0.049157885,0.011868923,0.142263303,0.069227278,198,0.093105418,0.093105418,0.00866861886095473
Gender,TWN,East_Taiwanese,East,Taiwanese,0.093213523,0.006500626,0.142263303,0.069227278,198,0.04904978,0.04904978,0.0024058809180484
Gender,USA,West_American,West,American,0.120597766,0.001034121,0.142263303,0.069227278,198,0.021665537,0.021665537,0.00046939549349837
Intervention,ARE,East_Emirati,East,Emirati,0.037075505,0.005299486,0.249385302,0.031149767,950,0.212309797,0.212309797,0.0450754499021812
Intervention,AUS,West_Australian,West,Australian,0.075184524,0.00131647,0.249385302,0.031149767,950,0.174200778,0.174200778,0.0303459110558053
Intervention,BRA,West_Brazilian,West,Brazilian,0.030195531,0.000822651,0.249385302,0.031149767,950,0.219189771,0.219189771,0.0480441557110324
Intervention,CAN,West_Canadian,West,Canadian,0.067428866,0.001759233,0.249385302,0.031149767,950,0.181956436,0.181956436,0.0331081446018221
Intervention,CHN,East_Chinese,East,Chinese,0.085178684,0.004436312,0.249385302,0.031149767,950,0.164206618,0.164206618,0.0269638133949979
Intervention,DEU,West_German,West,German,0.083826994,0.000891727,0.249385302,0.031149767,950,0.165558308,0.165558308,0.0274095533478229
Intervention,ESP,West_Spanish,West,Spanish,0.044816578,0.001287872,0.249385302,0.031149767,950,0.204568724,0.204568724,0.0418483628389882
Intervention,GBR,West_British,West,British,0.075417185,0.000965342,0.249385302,0.031149767,950,0.173968117,0.173968117,0.0302649057325257
Intervention,HKG,East_HongKonger,East,HongKonger,0.07627871,0.003466843,0.249385302,0.031149767,950,0.173106592,0.173106592,0.0299658921938545
Intervention,IDN,East_Indonesian,East,Indonesian,0.039658528,0.003957367,0.249385302,0.031149767,950,0.209726774,0.209726774,0.0439853197324471
Intervention,IND,East_Indian,East,Indian,0.059772808,0.003005047,0.249385302,0.031149767,950,0.189612494,0.189612494,0.0359528978809
Intervention,ITA,West_Italian,West,Italian,0.046622997,0.001314551,0.249385302,0.031149767,950,0.202762305,0.202762305,0.041112552328913
Intervention,JPN,East_Japanese,East,Japanese,0.073653685,0.001489797,0.249385302,0.031149767,950,0.175731617,0.175731617,0.0308816012134347
Intervention,KOR,East_Korean,East,Korean,0.061313549,0.003288244,0.249385302,0.031149767,950,0.188071753,0.188071753,0.035370984276493
Intervention,MYS,East_Malaysian,East,Malaysian,0.050209877,0.004297733,0.249385302,0.031149767,950,0.199175425,0.199175425,0.0396708499239306
Intervention,POL,West_Polish,West,Polish,0.055484178,0.00126426,0.249385302,0.031149767,950,0.193901124,0.193901124,0.0375976458884634
Intervention,RUS,West_Russian,West,Russian,0.067780932,0.00110039,0.249385302,0.031149767,950,0.18160437,0.18160437,0.0329801472030969
Intervention,SAU,East_SaudiArabian,East,SaudiArabian,0.026805334,0.004809706,0.249385302,0.031149767,950,0.222579968,0.222579968,0.049541842154881
Intervention,TWN,East_Taiwanese,East,Taiwanese,0.075286482,0.003076446,0.249385302,0.031149767,950,0.17409882,0.17409882,0.0303103991253924
Intervention,USA,West_American,West,American,0.067244816,0.000571089,0.249385302,0.031149767,950,0.182140486,0.182140486,0.0331751566403162
Law,ARE,East_Emirati,East,Emirati,0.357703654,0.010400346,0.701799486,0.04579317,244,0.344095832,0.344095832,0.118401941599772
Law,AUS,West_Australian,West,Australian,0.330606998,0.002466845,0.701799486,0.04579317,244,0.371192488,0.371192488,0.13778386314763
Law,BRA,West_Brazilian,West,Brazilian,0.366954133,0.001744232,0.701799486,0.04579317,244,0.334845353,0.334845353,0.112121410425695
Law,CAN,West_Canadian,West,Canadian,0.335172447,0.002674782,0.701799486,0.04579317,244,0.366627039,0.366627039,0.134415385725908
Law,CHN,East_Chinese,East,Chinese,0.396378484,0.008605024,0.701799486,0.04579317,244,0.305421002,0.305421002,0.093281988462684
Law,DEU,West_German,West,German,0.358406251,0.001651349,0.701799486,0.04579317,244,0.343393235,0.343393235,0.117918913843765
Law,ESP,West_Spanish,West,Spanish,0.38865175,0.002563726,0.701799486,0.04579317,244,0.313147736,0.313147736,0.0980615045619257
Law,GBR,West_British,West,British,0.332686605,0.00186009,0.701799486,0.04579317,244,0.369112881,0.369112881,0.13624431892012
Law,HKG,East_HongKonger,East,HongKonger,0.424483106,0.006595253,0.701799486,0.04579317,244,0.27731638,0.27731638,0.0769043746163044
Law,IDN,East_Indonesian,East,Indonesian,0.398171017,0.007710314,0.701799486,0.04579317,244,0.303628469,0.303628469,0.0921902471872839
Law,IND,East_Indian,East,Indian,0.315398222,0.00615705,0.701799486,0.04579317,244,0.386401264,0.386401264,0.149305936820798
Law,ITA,West_Italian,West,Italian,0.375755211,0.00286799,0.701799486,0.04579317,244,0.326044275,0.326044275,0.106304869260276
Law,JPN,East_Japanese,East,Japanese,0.412275106,0.002881519,0.701799486,0.04579317,244,0.28952438,0.28952438,0.0838243666143844
Law,KOR,East_Korean,East,Korean,0.356525786,0.006407033,0.701799486,0.04579317,244,0.3452737,0.3452737,0.11921392791169
Law,MYS,East_Malaysian,East,Malaysian,0.391481779,0.008453588,0.701799486,0.04579317,244,0.310317707,0.310317707,0.0962970792777378
Law,POL,West_Polish,West,Polish,0.373425712,0.002450265,0.701799486,0.04579317,244,0.328373774,0.328373774,0.107829335451003
Law,RUS,West_Russian,West,Russian,0.385252679,0.002235225,0.701799486,0.04579317,244,0.316546807,0.316546807,0.100201881021895
Law,SAU,East_SaudiArabian,East,SaudiArabian,0.37272727,0.010072298,0.701799486,0.04579317,244,0.329072216,0.329072216,0.108288523343151
Law,TWN,East_Taiwanese,East,Taiwanese,0.347282936,0.006644861,0.701799486,0.04579317,244,0.35451655,0.35451655,0.125681984223903
Law,USA,West_American,West,American,0.318724086,0.001426453,0.701799486,0.04579317,244,0.3830754,0.3830754,0.14674676208516
No. Characters,ARE,East_Emirati,East,Emirati,0.522103732,0.010781011,0.65630136,0.061658545,146,0.134197628,0.134197628,0.0180090033608264
No. Characters,AUS,West_Australian,West,Australian,0.526965749,0.002593671,0.65630136,0.061658545,146,0.129335611,0.129335611,0.0167277002727433
No. Characters,BRA,West_Brazilian,West,Brazilian,0.474318205,0.001776149,0.65630136,0.061658545,146,0.181983155,0.181983155,0.033117868703754
No. Characters,CAN,West_Canadian,West,Canadian,0.533800222,0.002160921,0.65630136,0.061658545,146,0.122501138,0.122501138,0.015006528811295
No. Characters,CHN,East_Chinese,East,Chinese,0.422984741,0.008671581,0.65630136,0.061658545,146,0.233316619,0.233316619,0.0544366447015911
No. Characters,DEU,West_German,West,German,0.502871504,0.001766569,0.65630136,0.061658545,146,0.153429856,0.153429856,0.0235407207121807
No. Characters,ESP,West_Spanish,West,Spanish,0.498560993,0.002710437,0.65630136,0.061658545,146,0.157740367,0.157740367,0.0248820233812947
No. Characters,GBR,West_British,West,British,0.539386654,0.001839681,0.65630136,0.061658545,146,0.116914706,0.116914706,0.0136690484790664
No. Characters,HKG,East_HongKonger,East,HongKonger,0.460171958,0.007163411,0.65630136,0.061658545,146,0.196129402,0.196129402,0.0384667423288776
No. Characters,IDN,East_Indonesian,East,Indonesian,0.456525405,0.008127544,0.65630136,0.061658545,146,0.199775955,0.199775955,0.039910432196162
No. Characters,IND,East_Indian,East,Indian,0.477665245,0.00623951,0.65630136,0.061658545,146,0.178636115,0.178636115,0.0319108615822932
No. Characters,ITA,West_Italian,West,Italian,0.510379392,0.002828409,0.65630136,0.061658545,146,0.145921968,0.145921968,0.021293220744993
No. Characters,JPN,East_Japanese,East,Japanese,0.37365585,0.002957173,0.65630136,0.061658545,146,0.28264551,0.28264551,0.0798884843231601
No. Characters,KOR,East_Korean,East,Korean,0.43416246,0.00641658,0.65630136,0.061658545,146,0.2221389,0.2221389,0.04934569089321
No. Characters,MYS,East_Malaysian,East,Malaysian,0.440654413,0.009057108,0.65630136,0.061658545,146,0.215646947,0.215646947,0.0465036057504208
No. Characters,POL,West_Polish,West,Polish,0.47538328,0.002575286,0.65630136,0.061658545,146,0.18091808,0.18091808,0.0327313516708864
No. Characters,RUS,West_Russian,West,Russian,0.455030834,0.002361406,0.65630136,0.061658545,146,0.201270526,0.201270526,0.0405098246363167
No. Characters,SAU,East_SaudiArabian,East,SaudiArabian,0.459583997,0.010868616,0.65630136,0.061658545,146,0.196717363,0.196717363,0.0386977209056737
No. Characters,TWN,East_Taiwanese,East,Taiwanese,0.392762254,0.006142323,0.65630136,0.061658545,146,0.263539106,0.263539106,0.0694528603912792
No. Characters,USA,West_American,West,American,0.53104843,0.001006283,0.65630136,0.061658545,146,0.12525293,0.12525293,0.0156882964735849
Relation to AV,ARE,East_Emirati,East,Emirati,0.122502853,0.01024763,0.612446717,0.041828378,357,0.489943864,0.489943864,0.240044989871251
Relation to AV,AUS,West_Australian,West,Australian,0.123159909,0.00248041,0.612446717,0.041828378,357,0.489286808,0.489286808,0.239401580482829
Relation to AV,BRA,West_Brazilian,West,Brazilian,-0.019372603,0.002115549,0.612446717,0.041828378,357,0.63181932,0.63181932,0.399195653125262
Relation to AV,CAN,West_Canadian,West,Canadian,0.10223876,0.002052939,0.612446717,0.041828378,357,0.510207957,0.510207957,0.260312159386114
Relation to AV,CHN,East_Chinese,East,Chinese,-0.026445066,0.008610553,0.612446717,0.041828378,357,0.638891783,0.638891783,0.408182710384919
Relation to AV,DEU,West_German,West,German,0.127411138,0.001659557,0.612446717,0.041828378,357,0.485035579,0.485035579,0.235259512895865
Relation to AV,ESP,West_Spanish,West,Spanish,0.089936496,0.003062663,0.612446717,0.041828378,357,0.522510221,0.522510221,0.273016931049469
Relation to AV,GBR,West_British,West,British,0.119648393,0.001856977,0.612446717,0.041828378,357,0.492798324,0.492798324,0.242850188137209
Relation to AV,HKG,East_HongKonger,East,HongKonger,0.08715943,0.006737999,0.612446717,0.041828378,357,0.525287287,0.525287287,0.27592673388382
Relation to AV,IDN,East_Indonesian,East,Indonesian,0.087975556,0.007163082,0.612446717,0.041828378,357,0.524471161,0.524471161,0.275069998720688
Relation to AV,IND,East_Indian,East,Indian,0.116154675,0.005906149,0.612446717,0.041828378,357,0.496292042,0.496292042,0.24630579095253
Relation to AV,ITA,West_Italian,West,Italian,0.088989614,0.002480132,0.612446717,0.041828378,357,0.523457103,0.523457103,0.274007338681153
Relation to AV,JPN,East_Japanese,East,Japanese,0.235227299,0.00287079,0.612446717,0.041828378,357,0.377219418,0.377219418,0.142294489316259
Relation to AV,KOR,East_Korean,East,Korean,0.132327319,0.007140705,0.612446717,0.041828378,357,0.480119398,0.480119398,0.230514636335882
Relation to AV,MYS,East_Malaysian,East,Malaysian,0.125448068,0.008198284,0.612446717,0.041828378,357,0.486998649,0.486998649,0.237167684127825
Relation to AV,POL,West_Polish,West,Polish,-0.006368135,0.002851511,0.612446717,0.041828378,357,0.618814852,0.618814852,0.382931821055782
Relation to AV,RUS,West_Russian,West,Russian,0.044768685,0.002352183,0.612446717,0.041828378,357,0.567678032,0.567678032,0.322258348015393
Relation to AV,SAU,East_SaudiArabian,East,SaudiArabian,0.124194526,0.009102387,0.612446717,0.041828378,357,0.488252191,0.488252191,0.2383902020163
Relation to AV,TWN,East_Taiwanese,East,Taiwanese,0.084831585,0.007070504,0.612446717,0.041828378,357,0.527615132,0.527615132,0.278377727515377
Relation to AV,USA,West_American,West,American,0.098284516,0.001192761,0.612446717,0.041828378,357,0.514162201,0.514162201,0.264362768937164
Social Status,ARE,East_Emirati,East,Emirati,0.321925957,0.018576837,0.688204438,0.059083234,148,0.366278481,0.366278481,0.134159925643667
Social Status,AUS,West_Australian,West,Australian,0.345313103,0.004108634,0.688204438,0.059083234,148,0.342891335,0.342891335,0.117574467618082
Social Status,BRA,West_Brazilian,West,Brazilian,0.326867721,0.002952027,0.688204438,0.059083234,148,0.361336717,0.361336717,0.130564223052338
Social Status,CAN,West_Canadian,West,Canadian,0.36163429,0.003356485,0.688204438,0.059083234,148,0.326570148,0.326570148,0.106648061564742
Social Status,CHN,East_Chinese,East,Chinese,0.334636609,0.013790054,0.688204438,0.059083234,148,0.353567829,0.353567829,0.125010209703773
Social Status,DEU,West_German,West,German,0.294729625,0.002665624,0.688204438,0.059083234,148,0.393474813,0.393474813,0.154822428465385
Social Status,ESP,West_Spanish,West,Spanish,0.323547829,0.004259265,0.688204438,0.059083234,148,0.364656609,0.364656609,0.132974442487379
Social Status,GBR,West_British,West,British,0.353761819,0.003088384,0.688204438,0.059083234,148,0.334442619,0.334442619,0.111851865403579
Social Status,HKG,East_HongKonger,East,HongKonger,0.30434418,0.011208594,0.688204438,0.059083234,148,0.383860258,0.383860258,0.147348697671827
Social Status,IDN,East_Indonesian,East,Indonesian,0.379726867,0.012703869,0.688204438,0.059083234,148,0.308477571,0.308477571,0.09515841181006
Social Status,IND,East_Indian,East,Indian,0.31694995,0.010184658,0.688204438,0.059083234,148,0.371254488,0.371254488,0.137829894860142
Social Status,ITA,West_Italian,West,Italian,0.35661732,0.004491756,0.688204438,0.059083234,148,0.331587118,0.331587118,0.109950016823546
Social Status,JPN,East_Japanese,East,Japanese,0.318228363,0.004515697,0.688204438,0.059083234,148,0.369976075,0.369976075,0.136882296072406
Social Status,KOR,East_Korean,East,Korean,0.295447474,0.01008118,0.688204438,0.059083234,148,0.392756964,0.392756964,0.154258032770497
Social Status,MYS,East_Malaysian,East,Malaysian,0.348893395,0.014211574,0.688204438,0.059083234,148,0.339311043,0.339311043,0.115131983901748
Social Status,POL,West_Polish,West,Polish,0.354154282,0.00441148,0.688204438,0.059083234,148,0.334050156,0.334050156,0.111589506723624
Social Status,RUS,West_Russian,West,Russian,0.340724897,0.003487935,0.688204438,0.059083234,148,0.347479541,0.347479541,0.120742031413571
Social Status,SAU,East_SaudiArabian,East,SaudiArabian,0.351028168,0.016968949,0.688204438,0.059083234,148,0.33717627,0.33717627,0.113687837051113
Social Status,TWN,East_Taiwanese,East,Taiwanese,0.273966528,0.010145078,0.688204438,0.059083234,148,0.41423791,0.41423791,0.171593046081168
Social Status,USA,West_American,West,American,0.35861455,0.001497454,0.688204438,0.059083234,148,0.329589888,0.329589888,0.108629494271853
Species,ARE,East_Emirati,East,Emirati,0.576738615,0.012089917,0.899848736,0.034078376,166,0.323110121,0.323110121,0.104400150292635
Species,AUS,West_Australian,West,Australian,0.591866888,0.003212572,0.899848736,0.034078376,166,0.307981848,0.307981848,0.0948528186974951
Species,BRA,West_Brazilian,West,Brazilian,0.332123747,0.003654288,0.899848736,0.034078376,166,0.567724989,0.567724989,0.32231166313505
Species,CAN,West_Canadian,West,Canadian,0.620113516,0.002791286,0.899848736,0.034078376,166,0.27973522,0.27973522,0.0782517933084484
Species,CHN,East_Chinese,East,Chinese,0.6593241,0.00805309,0.899848736,0.034078376,166,0.240524636,0.240524636,0.0578521005229325
Species,DEU,West_German,West,German,0.648889961,0.002182091,0.899848736,0.034078376,166,0.250958775,0.250958775,0.0629803067495007
Species,ESP,West_Spanish,West,Spanish,0.604194352,0.003254562,0.899848736,0.034078376,166,0.295654384,0.295654384,0.0874115147784194
Species,GBR,West_British,West,British,0.597346529,0.002500652,0.899848736,0.034078376,166,0.302502207,0.302502207,0.0915075852398709
Species,HKG,East_HongKonger,East,HongKonger,0.571881295,0.007827029,0.899848736,0.034078376,166,0.327967441,0.327967441,0.107562642356089
Species,IDN,East_Indonesian,East,Indonesian,0.547935797,0.008465936,0.899848736,0.034078376,166,0.351912939,0.351912939,0.123842716635618
Species,IND,East_Indian,East,Indian,0.556126051,0.006778208,0.899848736,0.034078376,166,0.343722685,0.343722685,0.118145284183609
Species,ITA,West_Italian,West,Italian,0.672606589,0.002774278,0.899848736,0.034078376,166,0.227242147,0.227242147,0.0516389933731696
Species,JPN,East_Japanese,East,Japanese,0.596494837,0.003204117,0.899848736,0.034078376,166,0.303353899,0.303353899,0.0920235880385022
Species,KOR,East_Korean,East,Korean,0.7004119,0.005894787,0.899848736,0.034078376,166,0.199436836,0.199436836,0.0397750515536909
Species,MYS,East_Malaysian,East,Malaysian,0.532676552,0.009886387,0.899848736,0.034078376,166,0.367172184,0.367172184,0.13481541270333
Species,POL,West_Polish,West,Polish,0.626939296,0.002776289,0.899848736,0.034078376,166,0.27290944,0.27290944,0.0744795624411136
Species,RUS,West_Russian,West,Russian,0.605935426,0.002391103,0.899848736,0.034078376,166,0.29391331,0.29391331,0.0863850337951561
Species,SAU,East_SaudiArabian,East,SaudiArabian,0.609155035,0.011373477,0.899848736,0.034078376,166,0.290693701,0.290693701,0.0845028278010774
Species,TWN,East_Taiwanese,East,Taiwanese,0.55679039,0.00711509,0.899848736,0.034078376,166,0.343058346,0.343058346,0.117689028760256
Species,USA,West_American,West,American,0.584043888,0.001851544,0.899848736,0.034078376,166,0.315804848,0.315804848,0.0997327020203032
