PersonaCluster,MeanPersonaEuclideanDistanceToHuman,MeanBaselineEuclideanDistanceToHuman,MeanEuclideanDistanceImprovement,SharePersonasImproved,PersonasCompared,H2SupportedAtClusterLevel
East,0.835136686,0.903704413,0.068567727,1,10,TRUE
West,0.873718249,0.959507278,0.08578903,0.9,10,TRUE
