Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Gender,Male,Female,Female - Male,0.076955958,0.070309797,198,East_Chinese,CHN,East,Chinese,0.142263303,0.069227278,198,-0.065307345,0.065307345
Gender,Male,Female,Female - Male,0.244326531,0.068999432,198,East_Emirati,ARE,East,Emirati,0.142263303,0.069227278,198,0.102063228,0.102063228
Gender,Male,Female,Female - Male,0.270267219,0.067257211,198,East_HongKonger,HKG,East,HongKonger,0.142263303,0.069227278,198,0.128003916,0.128003916
Gender,Male,Female,Female - Male,0.293472497,0.067727282,198,East_Indian,IND,East,Indian,0.142263303,0.069227278,198,0.151209193,0.151209193
Gender,Male,Female,Female - Male,0.31679277,0.066572245,198,East_Indonesian,IDN,East,Indonesian,0.142263303,0.069227278,198,0.174529467,0.174529467
Gender,Male,Female,Female - Male,0.235515457,0.069254771,198,East_Japanese,JPN,East,Japanese,0.142263303,0.069227278,198,0.093252153,0.093252153
Gender,Male,Female,Female - Male,0.296395357,0.06695589,198,East_Korean,KOR,East,Korean,0.142263303,0.069227278,198,0.154132054,0.154132054
Gender,Male,Female,Female - Male,0.30938115,0.066962321,198,East_Malaysian,MYS,East,Malaysian,0.142263303,0.069227278,198,0.167117846,0.167117846
Gender,Male,Female,Female - Male,0.211594356,0.068853315,198,East_SaudiArabian,SAU,East,SaudiArabian,0.142263303,0.069227278,198,0.069331053,0.069331053
Gender,Male,Female,Female - Male,0.134922112,0.069191184,198,East_Taiwanese,TWN,East,Taiwanese,0.142263303,0.069227278,198,-0.007341192,0.007341192
Gender,Male,Female,Female - Male,0.248300766,0.068149917,198,West_American,USA,West,American,0.142263303,0.069227278,198,0.106037463,0.106037463
Gender,Male,Female,Female - Male,0.263194518,0.068426281,198,West_Australian,AUS,West,Australian,0.142263303,0.069227278,198,0.120931214,0.120931214
Gender,Male,Female,Female - Male,0.14166362,0.070093835,198,West_Brazilian,BRA,West,Brazilian,0.142263303,0.069227278,198,-0.000599684,0.000599684
Gender,Male,Female,Female - Male,0.26370255,0.068185458,198,West_British,GBR,West,British,0.142263303,0.069227278,198,0.121439246,0.121439246
Gender,Male,Female,Female - Male,0.300848054,0.066884806,198,West_Canadian,CAN,West,Canadian,0.142263303,0.069227278,198,0.158584751,0.158584751
Gender,Male,Female,Female - Male,0.263640769,0.06821259,198,West_German,DEU,West,German,0.142263303,0.069227278,198,0.121377466,0.121377466
Gender,Male,Female,Female - Male,0.219344259,0.069202417,198,West_Italian,ITA,West,Italian,0.142263303,0.069227278,198,0.077080956,0.077080956
Gender,Male,Female,Female - Male,0.272643248,0.068038746,198,West_Polish,POL,West,Polish,0.142263303,0.069227278,198,0.130379944,0.130379944
Gender,Male,Female,Female - Male,0.207590066,0.069606645,198,West_Russian,RUS,West,Russian,0.142263303,0.069227278,198,0.065326762,0.065326762
Gender,Male,Female,Female - Male,0.139193586,0.070424704,198,West_Spanish,ESP,West,Spanish,0.142263303,0.069227278,198,-0.003069718,0.003069718
Intervention,Omission,Commission,Commission - Omission,0.276192507,0.031056368,950,East_Chinese,CHN,East,Chinese,0.249385302,0.031149767,950,0.026807205,0.026807205
Intervention,Omission,Commission,Commission - Omission,0.215169992,0.0316889,950,East_Emirati,ARE,East,Emirati,0.249385302,0.031149767,950,-0.034215309,0.034215309
Intervention,Omission,Commission,Commission - Omission,0.255354954,0.031156065,950,East_HongKonger,HKG,East,HongKonger,0.249385302,0.031149767,950,0.005969652,0.005969652
Intervention,Omission,Commission,Commission - Omission,0.268510791,0.031175904,950,East_Indian,IND,East,Indian,0.249385302,0.031149767,950,0.019125489,0.019125489
Intervention,Omission,Commission,Commission - Omission,0.297490539,0.030922944,950,East_Indonesian,IDN,East,Indonesian,0.249385302,0.031149767,950,0.048105238,0.048105238
Intervention,Omission,Commission,Commission - Omission,0.330470637,0.030590138,950,East_Japanese,JPN,East,Japanese,0.249385302,0.031149767,950,0.081085335,0.081085335
Intervention,Omission,Commission,Commission - Omission,0.29989698,0.030748291,950,East_Korean,KOR,East,Korean,0.249385302,0.031149767,950,0.050511678,0.050511678
Intervention,Omission,Commission,Commission - Omission,0.282373272,0.031032077,950,East_Malaysian,MYS,East,Malaysian,0.249385302,0.031149767,950,0.032987971,0.032987971
Intervention,Omission,Commission,Commission - Omission,0.212359598,0.031618383,950,East_SaudiArabian,SAU,East,SaudiArabian,0.249385302,0.031149767,950,-0.037025704,0.037025704
Intervention,Omission,Commission,Commission - Omission,0.302284995,0.030678603,950,East_Taiwanese,TWN,East,Taiwanese,0.249385302,0.031149767,950,0.052899693,0.052899693
Intervention,Omission,Commission,Commission - Omission,0.29865563,0.030917592,950,West_American,USA,West,American,0.249385302,0.031149767,950,0.049270328,0.049270328
Intervention,Omission,Commission,Commission - Omission,0.277417224,0.031209263,950,West_Australian,AUS,West,Australian,0.249385302,0.031149767,950,0.028031923,0.028031923
Intervention,Omission,Commission,Commission - Omission,0.290801539,0.031006303,950,West_Brazilian,BRA,West,Brazilian,0.249385302,0.031149767,950,0.041416237,0.041416237
Intervention,Omission,Commission,Commission - Omission,0.301113136,0.030841976,950,West_British,GBR,West,British,0.249385302,0.031149767,950,0.051727834,0.051727834
Intervention,Omission,Commission,Commission - Omission,0.324825827,0.03057835,950,West_Canadian,CAN,West,Canadian,0.249385302,0.031149767,950,0.075440526,0.075440526
Intervention,Omission,Commission,Commission - Omission,0.304808955,0.030882421,950,West_German,DEU,West,German,0.249385302,0.031149767,950,0.055423653,0.055423653
Intervention,Omission,Commission,Commission - Omission,0.321776675,0.030598774,950,West_Italian,ITA,West,Italian,0.249385302,0.031149767,950,0.072391373,0.072391373
Intervention,Omission,Commission,Commission - Omission,0.307512466,0.030904886,950,West_Polish,POL,West,Polish,0.249385302,0.031149767,950,0.058127164,0.058127164
