Effect,ReferenceLevel,ComparedLevel,Contrast,East,West,EastMinusWest,AbsEastMinusWest
Age,Elderly,Young,Young - Elderly,-0.489460481957565,-0.586043159009518,0.0965826770519523,0.0965826770519523
Fitness,Large,Fit,Fit - Large,0.218600804997078,0.197598564068453,0.0210022409286248,0.0210022409286248
Gender,Male,Female,Female - Male,-0.402173236497395,-0.436017367781473,0.0338441312840784,0.0338441312840784
Intervention,Omission,Commission,Commission - Omission,0.0196985133295266,-0.0384015396078536,0.0581000529373803,0.0581000529373803
Law,Illegal,Legal,Legal - Illegal,0.0616966580976875,0.042930591259641,0.0187660668380466,0.0187660668380466
No. Characters,Less,More,More - Less,0.608716886861668,0.656249372651119,-0.0475324857894505,0.0475324857894505
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.585172772817109,0.446814554706811,0.138358218110298,0.138358218110298
Social Status,Low,High,High - Low,0.485896923607814,0.516337405035711,-0.0304404814278971,0.0304404814278971
Species,Pets,Humans,Humans - Pets,-0.772117389481241,-0.80990460556757,0.0377872160863295,0.0377872160863295
