Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
Intervention,Omission,Commission,Commission - Omission,0.0586478946487668,0.0321887300849577,950,East_Chinese,CHN,East,Chinese
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.708335490819464,0.0370228812184275,357,East_Chinese,CHN,East,Chinese
Law,Illegal,Legal,Legal - Illegal,0.0745501285347058,0.0641035538247018,244,East_Chinese,CHN,East,Chinese
Gender,Male,Female,Female - Male,-0.304538529921743,0.0671677997696183,198,East_Chinese,CHN,East,Chinese
Fitness,Large,Fit,Fit - Large,0.154565414528294,0.0862157501750584,132,East_Chinese,CHN,East,Chinese
Social Status,Low,High,High - Low,0.582666896632395,0.0650964340330941,148,East_Chinese,CHN,East,Chinese
Age,Elderly,Young,Young - Elderly,-0.467749168968981,0.0702321112156907,160,East_Chinese,CHN,East,Chinese
No. Characters,Less,More,More - Less,0.652145894304694,0.0605368878795713,146,East_Chinese,CHN,East,Chinese
Species,Pets,Humans,Humans - Pets,-0.737863578763957,0.0518385126600441,166,East_Chinese,CHN,East,Chinese
Intervention,Omission,Commission,Commission - Omission,0.0448740634131145,0.0321124518705313,950,East_Emirati,ARE,East,Emirati
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.637104990842965,0.0409126852248403,357,East_Emirati,ARE,East,Emirati
Law,Illegal,Legal,Legal - Illegal,0.0565552699228804,0.0641795486800636,244,East_Emirati,ARE,East,Emirati
Gender,Male,Female,Female - Male,-0.39683827357955,0.0641471035775899,198,East_Emirati,ARE,East,Emirati
Fitness,Large,Fit,Fit - Large,0.222225693247105,0.0846887332453268,132,East_Emirati,ARE,East,Emirati
Social Status,Low,High,High - Low,0.41160184721533,0.0730067992921999,148,East_Emirati,ARE,East,Emirati
Age,Elderly,Young,Young - Elderly,-0.392315873159438,0.0731901202846177,160,East_Emirati,ARE,East,Emirati
No. Characters,Less,More,More - Less,0.552250710865482,0.0658601222119099,146,East_Emirati,ARE,East,Emirati
Species,Pets,Humans,Humans - Pets,-0.76480401066042,0.049537232942542,166,East_Emirati,ARE,East,Emirati
Intervention,Omission,Commission,Commission - Omission,0.0351938174501236,0.0323893145895365,950,East_HongKonger,HKG,East,HongKonger
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.427558254117079,0.0479624538360248,357,East_HongKonger,HKG,East,HongKonger
Law,Illegal,Legal,Legal - Illegal,0.0874035989717235,0.0640364246452781,244,East_HongKonger,HKG,East,HongKonger
Gender,Male,Female,Female - Male,-0.391531632883518,0.0654767478284358,198,East_HongKonger,HKG,East,HongKonger
Fitness,Large,Fit,Fit - Large,0.062229564037703,0.0874175059419557,132,East_HongKonger,HKG,East,HongKonger
Social Status,Low,High,High - Low,0.516633240939842,0.0698725139401518,148,East_HongKonger,HKG,East,HongKonger
Age,Elderly,Young,Young - Elderly,-0.372870994451352,0.0735119058167122,160,East_HongKonger,HKG,East,HongKonger
No. Characters,Less,More,More - Less,0.645532992175066,0.0612863287192123,146,East_HongKonger,HKG,East,HongKonger
Species,Pets,Humans,Humans - Pets,-0.877265647903975,0.0373594634046544,166,East_HongKonger,HKG,East,HongKonger
Intervention,Omission,Commission,Commission - Omission,-0.0181786074949674,0.0324288417871278,950,East_Indian,IND,East,Indian
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.547413844608421,0.04415217295725,357,East_Indian,IND,East,Indian
Law,Illegal,Legal,Legal - Illegal,0.0616966580976874,0.0641599731810519,244,East_Indian,IND,East,Indian
