PersonaCluster,MeanPersonaEuclideanDistanceToHuman,MeanBaselineEuclideanDistanceToHuman,MeanEuclideanDistanceImprovement,SharePersonasImproved,PersonasCompared,H2SupportedAtClusterLevel
East,1.81890037976215,1.55753667192837,-0.261363707833781,0,10,FALSE
West,1.94179344245139,1.60834500143649,-0.333448441014899,0,10,FALSE
