PC1,PC2,PersonaGroup,PersonaCluster,Model,PC1Label,PC2Label
0.102265854335149,0.0414217964338005,East_SaudiArabian,East,GPT-5.6,PC1 (27.4%),PC2 (19.9%)
-0.0558964483994832,0.0553412160808912,East_Taiwanese,East,GPT-5.6,PC1 (27.4%),PC2 (19.9%)
-0.0311452276913387,-0.0534915424610334,West_American,West,GPT-5.6,PC1 (27.4%),PC2 (19.9%)
-0.072746060318861,0.0444685091726958,West_Australian,West,GPT-5.6,PC1 (27.4%),PC2 (19.9%)
-0.056277661157719,0.079085612674652,West_Brazilian,West,GPT-5.6,PC1 (27.4%),PC2 (19.9%)
-0.10273608057217,-0.0850002335452134,West_British,West,GPT-5.6,PC1 (27.4%),PC2 (19.9%)
-0.183949353727422,-0.0799307893582852,West_Canadian,West,GPT-5.6,PC1 (27.4%),PC2 (19.9%)
0.0578178035348004,0.153237815919743,West_German,West,GPT-5.6,PC1 (27.4%),PC2 (19.9%)
0.162818402368133,-0.0427168589827899,West_Italian,West,GPT-5.6,PC1 (27.4%),PC2 (19.9%)
0.155218921270149,0.0696746607092301,West_Polish,West,GPT-5.6,PC1 (27.4%),PC2 (19.9%)
-0.0381689857076781,-0.0261630027029246,West_Russian,West,GPT-5.6,PC1 (27.4%),PC2 (19.9%)
-0.0285891225096233,-0.207917828171273,West_Spanish,West,GPT-5.6,PC1 (27.4%),PC2 (19.9%)
