Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Fitness,Large,Fit,Fit - Large,0.123394687336586,0.0870321671989788,132,West_British,GBR,West,British,0.14519608980064,0.0867443766022083,132,-0.021801402464054,0.021801402464054
Fitness,Large,Fit,Fit - Large,0.188581361361606,0.085464338885304,132,West_Canadian,CAN,West,Canadian,0.14519608980064,0.0867443766022083,132,0.043385271560966,0.043385271560966
Fitness,Large,Fit,Fit - Large,0.203849518725902,0.0856679399883107,132,West_German,DEU,West,German,0.14519608980064,0.0867443766022083,132,0.058653428925262,0.058653428925262
Fitness,Large,Fit,Fit - Large,0.315187192249743,0.0832112863586645,132,West_Italian,ITA,West,Italian,0.14519608980064,0.0867443766022083,132,0.169991102449103,0.169991102449103
Fitness,Large,Fit,Fit - Large,0.247567821078027,0.0840895577560924,132,West_Polish,POL,West,Polish,0.14519608980064,0.0867443766022083,132,0.102371731277387,0.102371731277387
Fitness,Large,Fit,Fit - Large,0.107780186043287,0.0868639516928375,132,West_Russian,RUS,West,Russian,0.14519608980064,0.0867443766022083,132,-0.037415903757353,0.037415903757353
Fitness,Large,Fit,Fit - Large,0.276830532672777,0.0840421304758,132,West_Spanish,ESP,West,Spanish,0.14519608980064,0.0867443766022083,132,0.131634442872137,0.131634442872137
Gender,Male,Female,Female - Male,-0.267097325956295,0.0676073193547924,198,East_Chinese,CHN,East,Chinese,-0.299842266960006,0.0679898797503153,198,0.032744941003711,0.032744941003711
Gender,Male,Female,Female - Male,-0.450580571858796,0.0628515077023532,198,East_Emirati,ARE,East,Emirati,-0.299842266960006,0.0679898797503153,198,-0.15073830489879,0.15073830489879
Gender,Male,Female,Female - Male,-0.311520284704742,0.0667809905605914,198,East_HongKonger,HKG,East,HongKonger,-0.299842266960006,0.0679898797503153,198,-0.011678017744736,0.011678017744736
Gender,Male,Female,Female - Male,-0.451886260075966,0.0638059280219162,198,East_Indian,IND,East,Indian,-0.299842266960006,0.0679898797503153,198,-0.15204399311596,0.15204399311596
Gender,Male,Female,Female - Male,-0.449315317550129,0.0640417523485605,198,East_Indonesian,IDN,East,Indonesian,-0.299842266960006,0.0679898797503153,198,-0.149473050590123,0.149473050590123
Gender,Male,Female,Female - Male,-0.354499536729068,0.0662299950316197,198,East_Japanese,JPN,East,Japanese,-0.299842266960006,0.0679898797503153,198,-0.054657269769062,0.054657269769062
Gender,Male,Female,Female - Male,-0.360526706619738,0.0660101867487772,198,East_Korean,KOR,East,Korean,-0.299842266960006,0.0679898797503153,198,-0.060684439659732,0.060684439659732
Gender,Male,Female,Female - Male,-0.387589054608071,0.065426455615697,198,East_Malaysian,MYS,East,Malaysian,-0.299842266960006,0.0679898797503153,198,-0.087746787648065,0.087746787648065
Gender,Male,Female,Female - Male,-0.482846448593386,0.0620703990067855,198,East_SaudiArabian,SAU,East,SaudiArabian,-0.299842266960006,0.0679898797503153,198,-0.18300418163338,0.18300418163338
Gender,Male,Female,Female - Male,-0.383271624940407,0.0657661712462611,198,East_Taiwanese,TWN,East,Taiwanese,-0.299842266960006,0.0679898797503153,198,-0.083429357980401,0.083429357980401
Gender,Male,Female,Female - Male,-0.496424700244668,0.0622287944036525,198,West_American,USA,West,American,-0.299842266960006,0.0679898797503153,198,-0.196582433284662,0.196582433284662
Gender,Male,Female,Female - Male,-0.411666070080918,0.0652469425533428,198,West_Australian,AUS,West,Australian,-0.299842266960006,0.0679898797503153,198,-0.111823803120912,0.111823803120912
Gender,Male,Female,Female - Male,-0.396630230075787,0.0655041293516723,198,West_Brazilian,BRA,West,Brazilian,-0.299842266960006,0.0679898797503153,198,-0.096787963115781,0.096787963115781
Gender,Male,Female,Female - Male,-0.568408515480086,0.0590176794204081,198,West_British,GBR,West,British,-0.299842266960006,0.0679898797503153,198,-0.26856624852008,0.26856624852008
Gender,Male,Female,Female - Male,-0.475228864724448,0.0630267185673319,198,West_Canadian,CAN,West,Canadian,-0.299842266960006,0.0679898797503153,198,-0.175386597764442,0.175386597764442
Gender,Male,Female,Female - Male,-0.47479220553645,0.0624284138179747,198,West_German,DEU,West,German,-0.299842266960006,0.0679898797503153,198,-0.174949938576444,0.174949938576444
Gender,Male,Female,Female - Male,-0.416416334869527,0.0651299172077365,198,West_Italian,ITA,West,Italian,-0.299842266960006,0.0679898797503153,198,-0.116574067909521,0.116574067909521
Gender,Male,Female,Female - Male,-0.396461513287003,0.0650049052086913,198,West_Polish,POL,West,Polish,-0.299842266960006,0.0679898797503153,198,-0.096619246326997,0.096619246326997
Gender,Male,Female,Female - Male,-0.494458053525914,0.0613733067932886,198,West_Russian,RUS,West,Russian,-0.299842266960006,0.0679898797503153,198,-0.194615786565908,0.194615786565908
Gender,Male,Female,Female - Male,-0.382160084106238,0.0656635178870861,198,West_Spanish,ESP,West,Spanish,-0.299842266960006,0.0679898797503153,198,-0.082317817146232,0.082317817146232
Intervention,Omission,Commission,Commission - Omission,0.0614125063558628,0.0321535879197176,950,East_Chinese,CHN,East,Chinese,-0.0240198922668831,0.0325203366872527,950,0.0854323986227459,0.0854323986227459
Intervention,Omission,Commission,Commission - Omission,0.0602364933377202,0.0321336822008604,950,East_Emirati,ARE,East,Emirati,-0.0240198922668831,0.0325203366872527,950,0.0842563856046033,0.0842563856046033
Intervention,Omission,Commission,Commission - Omission,0.0338302401136396,0.0323907906548337,950,East_HongKonger,HKG,East,HongKonger,-0.0240198922668831,0.0325203366872527,950,0.0578501323805227,0.0578501323805227
Intervention,Omission,Commission,Commission - Omission,-0.00870252579677053,0.032443660448706,950,East_Indian,IND,East,Indian,-0.0240198922668831,0.0325203366872527,950,0.0153173664701126,0.0153173664701126
Intervention,Omission,Commission,Commission - Omission,-0.0216946467129187,0.0324340184218658,950,East_Indonesian,IDN,East,Indonesian,-0.0240198922668831,0.0325203366872527,950,0.0023252455539644,0.0023252455539644
Intervention,Omission,Commission,Commission - Omission,0.0518840133351212,0.0321736654809911,950,East_Japanese,JPN,East,Japanese,-0.0240198922668831,0.0325203366872527,950,0.0759039056020043,0.0759039056020043
Intervention,Omission,Commission,Commission - Omission,0.0115455246702593,0.0323071204337394,950,East_Korean,KOR,East,Korean,-0.0240198922668831,0.0325203366872527,950,0.0355654169371424,0.0355654169371424
Intervention,Omission,Commission,Commission - Omission,0.0628349581444333,0.0324329661476094,950,East_Malaysian,MYS,East,Malaysian,-0.0240198922668831,0.0325203366872527,950,0.0868548504113164,0.0868548504113164
Intervention,Omission,Commission,Commission - Omission,0.0443707658378987,0.032220733209337,950,East_SaudiArabian,SAU,East,SaudiArabian,-0.0240198922668831,0.0325203366872527,950,0.0683906581047818,0.0683906581047818
Intervention,Omission,Commission,Commission - Omission,0.0329960254223546,0.0322979110934271,950,East_Taiwanese,TWN,East,Taiwanese,-0.0240198922668831,0.0325203366872527,950,0.0570159176892377,0.0570159176892377
Intervention,Omission,Commission,Commission - Omission,-0.0956377918971229,0.0324014249000523,950,West_American,USA,West,American,-0.0240198922668831,0.0325203366872527,950,-0.0716178996302398,0.0716178996302398
Intervention,Omission,Commission,Commission - Omission,-0.0720976029040468,0.0325140866223,950,West_Australian,AUS,West,Australian,-0.0240198922668831,0.0325203366872527,950,-0.0480777106371637,0.0480777106371637
Intervention,Omission,Commission,Commission - Omission,-0.0534066029957216,0.0325449319283604,950,West_Brazilian,BRA,West,Brazilian,-0.0240198922668831,0.0325203366872527,950,-0.0293867107288385,0.0293867107288385
Intervention,Omission,Commission,Commission - Omission,-0.120990713911581,0.0323741679937053,950,West_British,GBR,West,British,-0.0240198922668831,0.0325203366872527,950,-0.0969708216446979,0.0969708216446979
Intervention,Omission,Commission,Commission - Omission,-0.0923624767836826,0.0323784466651371,950,West_Canadian,CAN,West,Canadian,-0.0240198922668831,0.0325203366872527,950,-0.0683425845167995,0.0683425845167995
