PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,PersonaEuclideanDistanceToHuman,PersonaRMSEToHuman,PersonaMeanAbsoluteDifferenceToHuman,ComparedEffectsPersona,BaselineEuclideanDistanceToHuman,BaselineRMSEToHuman,BaselineMeanAbsoluteDifferenceToHuman,ComparedEffectsBaseline,EuclideanDistanceImprovement,RMSEImprovement,MeanAbsoluteDifferenceImprovement,H2SupportedByEuclidean,H2SupportedByRMSE
East_Malaysian,MYS,East,Malaysian,1.70871246003333,0.56957082001111,0.416177660044108,9,1.54633019534714,0.515443398449048,0.349723501262152,9,-0.162382264686188,-0.0541274215620627,-0.0664541587819558,FALSE,FALSE
East_Japanese,JPN,East,Japanese,1.77041272162142,0.590137573873807,0.446610550064905,9,1.60584710363586,0.535282367878619,0.363148583551183,9,-0.164565617985563,-0.0548552059951878,-0.083461966513722,FALSE,FALSE
East_Chinese,CHN,East,Chinese,1.83673332026249,0.612244440087497,0.454340124261301,9,1.66059720087106,0.553532400290352,0.386490100995627,9,-0.176136119391433,-0.0587120397971445,-0.0678500232656737,FALSE,FALSE
East_Taiwanese,TWN,East,Taiwanese,1.74377623059354,0.581258743531179,0.447701551668348,9,1.56025342785678,0.520084475952259,0.364209920440072,9,-0.183522802736759,-0.0611742675789198,-0.0834916312282761,FALSE,FALSE
East_Emirati,ARE,East,Emirati,1.80799263160345,0.602664210534483,0.439026263296769,9,1.60760600825538,0.535868669418461,0.354786418106739,9,-0.200386623348068,-0.0667955411160225,-0.0842398451900301,FALSE,FALSE
East_HongKonger,HKG,East,HongKonger,1.81121174020812,0.603737246736039,0.44085681220401,9,1.57110081318191,0.523700271060637,0.362010107928819,9,-0.240110927026205,-0.0800369756754017,-0.0788467042751912,FALSE,FALSE
East_Indonesian,IDN,East,Indonesian,1.82526059367922,0.608420197893072,0.452369429138546,9,1.56647930666334,0.52215976888778,0.353040294151041,9,-0.258781287015878,-0.0862604290052927,-0.0993291349875053,FALSE,FALSE
East_Korean,KOR,East,Korean,1.94188016181469,0.647293387271563,0.473751691352215,9,1.68221633662427,0.560738778874756,0.376900116773405,9,-0.259663825190419,-0.0865546083968065,-0.0968515745788097,FALSE,FALSE
East_Indian,IND,East,Indian,1.85706877648291,0.619022925494303,0.448256720708414,9,1.57887793244557,0.526292644148522,0.352278962662294,9,-0.278190844037344,-0.0927302813457813,-0.0959777580461196,FALSE,FALSE
East_SaudiArabian,SAU,East,SaudiArabian,1.88240830563552,0.627469435211841,0.454594033080477,9,1.5821795023562,0.527393167452068,0.35072571921785,9,-0.300228803279317,-0.100076267759772,-0.103868313862628,FALSE,FALSE
West_Brazilian,BRA,West,Brazilian,1.69838016780661,0.566126722602203,0.421600519320323,9,1.48536711255197,0.495122370850655,0.357754755662294,9,-0.213013055254643,-0.0710043517515477,-0.0638457636580292,FALSE,FALSE
West_Canadian,CAN,West,Canadian,1.90302728870203,0.634342429567344,0.450249928562947,9,1.67284827045495,0.557616090151648,0.365278246151041,9,-0.230179018247087,-0.0767263394156957,-0.0849716824119057,FALSE,FALSE
West_Russian,RUS,West,Russian,1.86286742008249,0.620955806694164,0.458613833130645,9,1.63244571802497,0.54414857267499,0.368142785706596,9,-0.230421702057523,-0.0768072340191743,-0.0904710474240487,FALSE,FALSE
West_Australian,AUS,West,Australian,1.89443898818945,0.631479662729815,0.437831725993468,9,1.64707527235532,0.549025090785107,0.362004254595485,9,-0.247363715834125,-0.0824545719447084,-0.0758274713979826,FALSE,FALSE
West_American,USA,West,American,1.90518506354434,0.635061687848113,0.459119709843974,9,1.63845314370363,0.546151047901209,0.357981978706596,9,-0.266731919840711,-0.0889106399469035,-0.101137731137377,FALSE,FALSE
West_Spanish,ESP,West,Spanish,1.95883067015449,0.652943556718162,0.486882040901871,9,1.67598753622732,0.558662512075772,0.374638798151041,9,-0.282843133927169,-0.0942810446423897,-0.11224324275083,FALSE,FALSE
West_Polish,POL,West,Polish,1.96710774368542,0.655702581228472,0.486811858029612,9,1.6743886489443,0.558129549648101,0.376843141706596,9,-0.292719094741114,-0.0975730315803712,-0.109968716323016,FALSE,FALSE
West_British,GBR,West,British,1.96033257032606,0.653444190108687,0.447251197714557,9,1.64772938357154,0.549243127857182,0.36010970403993,9,-0.312603186754517,-0.104201062251506,-0.0871414936746273,FALSE,FALSE
West_German,DEU,West,German,2.03721996181885,0.679073320606283,0.496483464469672,9,1.68086219190408,0.56028739730136,0.371019598884516,9,-0.35635776991477,-0.118785923304923,-0.125463865585156,FALSE,FALSE
West_Italian,ITA,West,Italian,2.12366764903253,0.707889216344178,0.510880236987165,9,1.74006283018539,0.580020943395129,0.380542520706596,9,-0.383604818847145,-0.127868272949048,-0.130337716280569,FALSE,FALSE
