PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,Age,Fitness,Gender,Intervention,Law,No. Characters,Relation to AV,Social Status,Species
East_Chinese,CHN,East,Chinese,-0.475618331034374,0.186777435738472,-0.267097325956295,0.0614125063558628,0.128534704370182,0.652145894304694,0.738619426615863,0.543961515175907,-0.678998785252151
East_Emirati,ARE,East,Emirati,-0.392315873159438,0.190715225343869,-0.450580571858796,0.0602364933377202,0.0437017994858623,0.611861759065436,0.676838317590988,0.471280459140113,-0.76480401066042
East_HongKonger,HKG,East,HongKonger,-0.451036344216865,-0.00219447838265152,-0.311520284704742,0.0338302401136396,0.0745501285347055,0.645532992175066,0.408633184075126,0.573985146534448,-0.877327391395535
East_Indian,IND,East,Indian,-0.600961419487444,0.139995488367439,-0.451886260075966,-0.00870252579677053,0.0745501285347056,0.611861759065436,0.559397252809845,0.534177261815109,-0.77398927749242
East_Indonesian,IDN,East,Indonesian,-0.595917387721825,0.254493274784033,-0.449315317550129,-0.0216946467129187,0.0231362467866331,0.592824212793622,0.59158827357827,0.466128528641229,-0.716427296251521
East_Japanese,JPN,East,Japanese,-0.479825154316739,0.26116100586845,-0.354499536729068,0.0518840133351212,0.120822622107971,0.592824212793622,0.720333238005638,0.542680950238171,-0.715161530075549
East_Korean,KOR,East,Korean,-0.569764246014632,0.252075882345647,-0.360526706619738,0.0115455246702593,0.0822622107969166,0.622821300126311,0.580270034947292,0.521705321194609,-0.800929709388881
East_Malaysian,MYS,East,Malaysian,-0.42607153548649,0.299429971282048,-0.387589054608071,0.0628349581444333,0.0694087403598984,0.611861759065436,0.488721990187354,0.459565380578499,-0.777279910404536
East_SaudiArabian,SAU,East,SaudiArabian,-0.57040390957877,0.165199879679215,-0.482846448593386,0.0443707658378987,0.0359897172236512,0.526892272160394,0.699529760961157,0.512989456476708,-0.764804010660419
East_Taiwanese,TWN,East,Taiwanese,-0.48652972860947,0.262546280086578,-0.383271624940407,0.0329960254223546,0.0231362467866331,0.652435260993577,0.630737685002777,0.422512835956957,-0.712144831634354
West_American,USA,West,American,-0.613571724130182,0.0901128199751555,-0.496424700244668,-0.0956377918971229,0.0899742930591272,0.669158653258832,0.393419521253163,0.511687759904922,-0.762655656941156
West_Australian,AUS,West,Australian,-0.582337567402185,0.135303540277996,-0.411666070080918,-0.0720976029040468,0.010282776349615,0.624883406222282,0.31201949464638,0.471742068669277,-0.805516463643733
West_Brazilian,BRA,West,Brazilian,-0.570084073104436,0.186710997572234,-0.396630230075787,-0.0534066029957216,0.0822622107969167,0.657382293784091,0.385827028826935,0.383477506300583,-0.765976645020039
West_British,GBR,West,British,-0.492237794387623,0.123394687336586,-0.568408515480086,-0.120990713911581,0.0359897172236512,0.60983697174776,0.203489312278393,0.499961641389309,-0.900962012796498
West_Canadian,CAN,West,Canadian,-0.515608194538854,0.188581361361606,-0.475228864724448,-0.0923624767836826,0.0565552699228801,0.632023855079004,0.46851915728193,0.496726558347379,-0.781641780595707
West_German,DEU,West,German,-0.671270780719958,0.203849518725902,-0.47479220553645,-0.0167235222483978,0.0231362467866331,0.723005850254407,0.52847443558171,0.46249301368469,-0.81432300426217
West_Italian,ITA,West,Italian,-0.596312587828266,0.315187192249743,-0.416416334869527,-0.026042376083578,0.0231362467866331,0.705144040375021,0.353013855442322,0.647868674359699,-0.933643236462961
West_Polish,POL,West,Polish,-0.489152329045706,0.247567821078027,-0.396461513287003,-0.0013551834199127,0.0359897172236512,0.652145894304694,0.569504643839536,0.57578614652465,-0.850448702990633
West_Russian,RUS,West,Russian,-0.493657962178954,0.107780186043287,-0.494458053525914,0.0733259339488505,0.0874035989717236,0.652145894304694,0.613702971117298,0.530899855075851,-0.739023520039255
West_Spanish,ESP,West,Spanish,-0.513854428643652,0.276830532672777,-0.382160084106238,0.00590750900360109,0.0616966580976873,0.693008762921718,0.57518288180136,0.55847603322209,-0.834994380850287
