Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
Intervention,Omission,Commission,Commission - Omission,0.0115455246702593,0.0323071204337394,950,East_Korean,KOR,East,Korean
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.580270034947292,0.0431455431528682,357,East_Korean,KOR,East,Korean
Law,Illegal,Legal,Legal - Illegal,0.0822622107969166,0.0640645635301538,244,East_Korean,KOR,East,Korean
Gender,Male,Female,Female - Male,-0.360526706619738,0.0660101867487772,198,East_Korean,KOR,East,Korean
Fitness,Large,Fit,Fit - Large,0.252075882345647,0.0844930203070532,132,East_Korean,KOR,East,Korean
Social Status,Low,High,High - Low,0.521705321194609,0.0686344617305377,148,East_Korean,KOR,East,Korean
Age,Elderly,Young,Young - Elderly,-0.569764246014632,0.0654585259074078,160,East_Korean,KOR,East,Korean
No. Characters,Less,More,More - Less,0.622821300126311,0.0622177364162296,146,East_Korean,KOR,East,Korean
Species,Pets,Humans,Humans - Pets,-0.800929709388881,0.0461787655100049,166,East_Korean,KOR,East,Korean
Intervention,Omission,Commission,Commission - Omission,0.0628349581444333,0.0324329661476094,950,East_Malaysian,MYS,East,Malaysian
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.488721990187354,0.0460686498274316,357,East_Malaysian,MYS,East,Malaysian
Law,Illegal,Legal,Legal - Illegal,0.0694087403598984,0.0641274050428325,244,East_Malaysian,MYS,East,Malaysian
Gender,Male,Female,Female - Male,-0.387589054608071,0.065426455615697,198,East_Malaysian,MYS,East,Malaysian
Fitness,Large,Fit,Fit - Large,0.299429971282048,0.0835716061960838,132,East_Malaysian,MYS,East,Malaysian
Social Status,Low,High,High - Low,0.459565380578499,0.0735157218582406,148,East_Malaysian,MYS,East,Malaysian
Age,Elderly,Young,Young - Elderly,-0.42607153548649,0.0719767580441361,160,East_Malaysian,MYS,East,Malaysian
No. Characters,Less,More,More - Less,0.611861759065436,0.0631666585429428,146,East_Malaysian,MYS,East,Malaysian
Species,Pets,Humans,Humans - Pets,-0.777279910404536,0.0484490090768539,166,East_Malaysian,MYS,East,Malaysian
Intervention,Omission,Commission,Commission - Omission,0.0443707658378987,0.032220733209337,950,East_SaudiArabian,SAU,East,SaudiArabian
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.699529760961157,0.0377155900402277,357,East_SaudiArabian,SAU,East,SaudiArabian
Law,Illegal,Legal,Legal - Illegal,0.0359897172236512,0.064240789938787,244,East_SaudiArabian,SAU,East,SaudiArabian
Gender,Male,Female,Female - Male,-0.482846448593386,0.0620703990067855,198,East_SaudiArabian,SAU,East,SaudiArabian
Fitness,Large,Fit,Fit - Large,0.165199879679215,0.0850284211916281,132,East_SaudiArabian,SAU,East,SaudiArabian
Social Status,Low,High,High - Low,0.512989456476708,0.0691057673826381,148,East_SaudiArabian,SAU,East,SaudiArabian
Age,Elderly,Young,Young - Elderly,-0.57040390957877,0.0655352470704301,160,East_SaudiArabian,SAU,East,SaudiArabian
No. Characters,Less,More,More - Less,0.526892272160394,0.0669220737804952,146,East_SaudiArabian,SAU,East,SaudiArabian
Species,Pets,Humans,Humans - Pets,-0.764804010660419,0.049537232942542,166,East_SaudiArabian,SAU,East,SaudiArabian
Intervention,Omission,Commission,Commission - Omission,0.0329960254223546,0.0322979110934271,950,East_Taiwanese,TWN,East,Taiwanese
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.630737685002777,0.0409949402996136,357,East_Taiwanese,TWN,East,Taiwanese
Law,Illegal,Legal,Legal - Illegal,0.0231362467866331,0.0642652276094044,244,East_Taiwanese,TWN,East,Taiwanese
