Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,AnalysisGroup
Intervention,Omission,Commission,Commission - Omission,-0.004509017,0.007073461,19950,Overall
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.515626629,0.009852947,7497,Overall
Law,Illegal,Legal,Legal - Illegal,0.07002081,0.013938401,5124,Overall
Gender,Male,Female,Female - Male,-0.414839141,0.014083998,4158,Overall
Fitness,Large,Fit,Fit - Large,0.191938796,0.018586925,2772,Overall
Social Status,Low,High,High - Low,0.507628605,0.015228857,3108,Overall
Age,Elderly,Young,Young - Elderly,-0.525319831,0.014725446,3360,Overall
No. Characters,Less,More,More - Less,0.637962074,0.013406152,3066,Overall
Species,Pets,Humans,Humans - Pets,-0.782262382,0.010461731,3486,Overall
