Effect,ReferenceLevel,ComparedLevel,Contrast,East,West,EastMinusWest,AbsEastMinusWest
Age,Elderly,Young,Young - Elderly,-0.504844392962605,-0.553808744197982,0.0489643512353769,0.0489643512353769
Fitness,Large,Fit,Fit - Large,0.20101999651131,0.187531865729331,0.0134881307819786,0.0134881307819786
Gender,Male,Female,Female - Male,-0.38991331316366,-0.451264657193104,0.0613513440294441,0.0613513440294441
Intervention,Omission,Commission,Commission - Omission,0.0328713354707601,-0.0399382827291592,0.0728096181999192,0.0728096181999192
Law,Illegal,Legal,Legal - Illegal,0.0676092544987159,0.0506426735218519,0.016966580976864,0.016966580976864
No. Characters,Less,More,More - Less,0.612106142254359,0.66187356222525,-0.0497674199708909,0.0497674199708909
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.609466916377431,0.440315330206903,0.169151586170528,0.169151586170528
Social Status,Low,High,High - Low,0.504898685575175,0.513911925747845,-0.00901324017267002,0.00901324017267002
Species,Pets,Humans,Humans - Pets,-0.758186675321579,-0.818918540360244,0.0607318650386653,0.0607318650386653
