Effect,ReferenceLevel,ComparedLevel,Contrast,East,West,EastMinusWest,AbsEastMinusWest
Age,Elderly,Young,Young - Elderly,-0.689129978284959,-0.690918220463693,0.00178824217873352,0.00178824217873352
Fitness,Large,Fit,Fit - Large,0.642149371234686,0.747598733839911,-0.105449362605225,0.105449362605225
Gender,Male,Female,Female - Male,-0.585956836935681,-0.660966031137567,0.075009194201886,0.075009194201886
Intervention,Omission,Commission,Commission - Omission,0.12758652095079,0.0691142672242156,0.0584722537265742,0.0584722537265742
Law,Illegal,Legal,Legal - Illegal,0.0397905759162306,0.0209424083769635,0.018848167539267,0.018848167539267
No. Characters,Less,More,More - Less,0.712278332132414,0.740333178195032,-0.0280548460626181,0.0280548460626181
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.691502067064768,0.463807773913424,0.227694293151345,0.227694293151345
Social Status,Low,High,High - Low,0.651709494762245,0.564245048646368,0.0874644461158768,0.0874644461158768
Species,Pets,Humans,Humans - Pets,-0.966998489871336,-0.97727753224458,0.010279042373244,0.010279042373244
