Effect,UserCountry3,PersonaGroup,PersonaCluster,PersonaNationality,HumanEstimate,HumanSE,NeutralEstimate,NeutralSE,NeutralN,BaselineDifferenceFromHuman,BaselineAbsDifferenceFromHuman,BaselineSquaredDifferenceFromHuman
Gender,ESP,West_Spanish,West,Spanish,0.130620426,0.002848173,-0.518580808,0.156742344,32,-0.649201234,0.649201234,0.421462243
Gender,GBR,West_British,West,British,0.096612764,0.002034295,-0.518580808,0.156742344,32,-0.615193572,0.615193572,0.378463132
Gender,HKG,East_HongKonger,East,HongKonger,0.059300481,0.007468899,-0.518580808,0.156742344,32,-0.577881289,0.577881289,0.333946785
Gender,IDN,East_Indonesian,East,Indonesian,0.102064334,0.008786736,-0.518580808,0.156742344,32,-0.620645142,0.620645142,0.385200393
Gender,IND,East_Indian,East,Indian,0.123460926,0.007054397,-0.518580808,0.156742344,32,-0.642041734,0.642041734,0.412217589
Gender,ITA,West_Italian,West,Italian,0.114895433,0.003152363,-0.518580808,0.156742344,32,-0.633476241,0.633476241,0.401292148
Gender,JPN,East_Japanese,East,Japanese,0.094794482,0.003090059,-0.518580808,0.156742344,32,-0.61337529,0.61337529,0.376229247
Gender,KOR,East_Korean,East,Korean,0.121054384,0.006838476,-0.518580808,0.156742344,32,-0.639635192,0.639635192,0.409133179
Gender,MYS,East_Malaysian,East,Malaysian,0.099458326,0.009654075,-0.518580808,0.156742344,32,-0.618039134,0.618039134,0.381972372
Gender,POL,West_Polish,West,Polish,0.087144091,0.002950284,-0.518580808,0.156742344,32,-0.605724899,0.605724899,0.366902654
Gender,RUS,West_Russian,West,Russian,0.037161347,0.002550194,-0.518580808,0.156742344,32,-0.555742155,0.555742155,0.308849343
Gender,SAU,East_SaudiArabian,East,SaudiArabian,0.049157885,0.011868923,-0.518580808,0.156742344,32,-0.567738693,0.567738693,0.322327224
Gender,TWN,East_Taiwanese,East,Taiwanese,0.093213523,0.006500626,-0.518580808,0.156742344,32,-0.611794331,0.611794331,0.374292304
Gender,USA,West_American,West,American,0.120597766,0.001034121,-0.518580808,0.156742344,32,-0.639178574,0.639178574,0.40854925
Intervention,ARE,East_Emirati,East,Emirati,0.037075505,0.005299486,0.143875121,0.070354588,200,0.106799616,0.106799616,0.011406158
Intervention,AUS,West_Australian,West,Australian,0.075184524,0.00131647,0.143875121,0.070354588,200,0.068690597,0.068690597,0.004718398
Intervention,BRA,West_Brazilian,West,Brazilian,0.030195531,0.000822651,0.143875121,0.070354588,200,0.11367959,0.11367959,0.012923049
Intervention,CAN,West_Canadian,West,Canadian,0.067428866,0.001759233,0.143875121,0.070354588,200,0.076446255,0.076446255,0.00584403
Intervention,CHN,East_Chinese,East,Chinese,0.085178684,0.004436312,0.143875121,0.070354588,200,0.058696437,0.058696437,0.003445272
