PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,Age,Fitness,Gender,Intervention,Law,No. Characters,Relation to AV,Social Status,Species
East_Chinese,CHN,East,Chinese,-0.692328058489873,0.443819835812644,-0.566136698728578,0.20760414436267,0.130890052356021,0.823732515399346,0.714679440908196,0.682763089606416,-1
East_Emirati,ARE,East,Emirati,-0.672274500253474,0.616586867856394,-0.710757799152385,0.113922313639403,0.0261780104712044,0.739829562818396,0.658901502723276,0.682763089606416,-1
East_HongKonger,HKG,East,HongKonger,-0.387249659214134,0.657700087337735,-0.566136698728578,0.161581166912022,0.0785340314136127,0.739829562818396,0.680293982544787,0.579251106792512,-0.897209576267561
East_Indian,IND,East,Indian,-0.777435378739089,0.45923385555799,-0.710757799152385,0.0833944064427664,-0.026178010471204,0.739829562818396,0.708992278583459,0.682763089606416,-1
East_Indonesian,IDN,East,Indonesian,-0.768647756118001,0.657700087337735,-0.330474779528185,0.0149993754688541,-0.026178010471204,0.545734724718298,0.603123564538357,0.682763089606416,-1
East_Japanese,JPN,East,Japanese,-0.597571416185366,0.52281212335009,-0.710757799152385,0.172618886554376,0.130890052356021,0.739829562818396,0.734715751252269,0.579251106792512,-1
East_Korean,KOR,East,Korean,-0.777435378739089,0.789353899900145,-0.566136698728578,0.142478623196987,-0.026178010471204,0.739829562818396,0.76477021676838,0.682763089606416,-1
East_Malaysian,MYS,East,Malaysian,-0.672274500253474,1,-0.566136698728578,0.102884593997049,-0.026178010471204,0.739829562818396,0.604479734015793,0.682763089606416,-1
East_SaudiArabian,SAU,East,SaudiArabian,-0.873808634603617,0.484933055293985,-0.566136698728578,0.126751315369427,0.0261780104712044,0.739829562818396,0.734715751252269,0.682763089606416,-1
East_Taiwanese,TWN,East,Taiwanese,-0.672274500253474,0.789353899900145,-0.566136698728578,0.149630383564344,0.109947643979058,0.57450914147772,0.710348448060897,0.579251106792512,-0.7727753224458
West_American,USA,West,American,-0.873808634603617,0.827232967956249,-0.710757799152385,0.124653206236072,0.0785340314136127,0.823732515399346,0.528665485486799,0.579251106792512,-1
West_Australian,AUS,West,Australian,-0.663486877632386,0.801533768220254,-0.6197169803758,-0.0327216126330595,-0.026178010471204,0.823732515399346,0.236782816020299,0.682763089606416,-1
West_Brazilian,BRA,West,Brazilian,-0.683540435868785,0.657700087337735,-0.710757799152385,0.0916270914239892,0.0785340314136127,0.823732515399346,0.498611019970689,0.462165806888848,-1
West_British,GBR,West,British,-0.567113621767858,0.628766736176504,-0.855378899576193,-0.0154228056485363,0.0261780104712044,0.629637677299248,0.236782816020299,0.565677789702753,-1
West_Canadian,CAN,West,Canadian,-0.672274500253474,0.590887668120399,-0.710757799152385,0.0527275331089845,-0.026178010471204,0.629637677299248,0.502942012817989,0.682763089606416,-1
West_German,DEU,West,German,-0.768647756118001,0.616586867856394,-0.710757799152385,0.0916270914239891,0.0785340314136127,0.739829562818396,0.498611019970689,0.462165806888848,-1
West_Italian,ITA,West,Italian,-0.768647756118001,1,-0.448502038204594,0.0414296221391446,0.0261780104712044,0.545734724718298,0.322243366800096,0.366398493786449,-1
West_Polish,POL,West,Polish,-0.567113621767858,0.69557915539384,-0.566136698728578,0.100386386381603,0.0261780104712044,0.823732515399346,0.524334492639499,0.682763089606416,-1
West_Russian,RUS,West,Russian,-0.567113621767858,0.789353899900145,-0.566136698728578,0.153441753367203,-0.026178010471204,0.823732515399346,0.580112430824419,0.475739123978607,-0.7727753224458
West_Spanish,ESP,West,Spanish,-0.777435378739089,0.86834618743759,-0.710757799152385,0.0833944064427666,-0.026178010471204,0.739829562818396,0.708992278583459,0.682763089606416,-1
