Effect,DiffNumberOFCharacters,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
No. Characters,4,Less,More,More - Less,,,0,West_Canadian,CAN,West,Canadian
No. Characters,1,Less,More,More - Less,1,6.80545932871861e-17,16,West_German,DEU,West,German
No. Characters,2,Less,More,More - Less,1,1.16110807241353e-16,8,West_German,DEU,West,German
No. Characters,3,Less,More,More - Less,-0.0365348650814855,0.407975735314712,8,West_German,DEU,West,German
No. Characters,4,Less,More,More - Less,,,0,West_German,DEU,West,German
No. Characters,1,Less,More,More - Less,0.65418772036624,0.246212488111537,16,West_Italian,ITA,West,Italian
No. Characters,2,Less,More,More - Less,1,1.16110807241353e-16,8,West_Italian,ITA,West,Italian
No. Characters,3,Less,More,More - Less,-0.0365348650814855,0.407975735314712,8,West_Italian,ITA,West,Italian
No. Characters,4,Less,More,More - Less,,,0,West_Italian,ITA,West,Italian
No. Characters,1,Less,More,More - Less,1,6.80545932871861e-17,16,West_Polish,POL,West,Polish
No. Characters,2,Less,More,More - Less,1,1.16110807241353e-16,8,West_Polish,POL,West,Polish
No. Characters,3,Less,More,More - Less,0.343574672722415,0.399369603597728,8,West_Polish,POL,West,Polish
No. Characters,4,Less,More,More - Less,,,0,West_Polish,POL,West,Polish
No. Characters,1,Less,More,More - Less,1,6.80545932871861e-17,16,West_Russian,RUS,West,Russian
No. Characters,2,Less,More,More - Less,1,1.16110807241353e-16,8,West_Russian,RUS,West,Russian
No. Characters,3,Less,More,More - Less,0.343574672722415,0.399369603597728,8,West_Russian,RUS,West,Russian
No. Characters,4,Less,More,More - Less,,,0,West_Russian,RUS,West,Russian
No. Characters,1,Less,More,More - Less,1,6.80545932871861e-17,16,West_Spanish,ESP,West,Spanish
No. Characters,2,Less,More,More - Less,1,1.16110807241353e-16,8,West_Spanish,ESP,West,Spanish
No. Characters,3,Less,More,More - Less,-0.0365348650814855,0.407975735314712,8,West_Spanish,ESP,West,Spanish
No. Characters,4,Less,More,More - Less,,,0,West_Spanish,ESP,West,Spanish
