Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Age,Elderly,Young,Young - Elderly,-0.768647756,0.104691174,40,East_Indonesian,IDN,East,Indonesian,-0.482006302,0.142808161,40,-0.286641455,0.286641455
Age,Elderly,Young,Young - Elderly,-0.768647756,0.104691174,40,West_German,DEU,West,German,-0.482006302,0.142808161,40,-0.286641455,0.286641455
Age,Elderly,Young,Young - Elderly,-0.768647756,0.104691174,40,West_Italian,ITA,West,Italian,-0.482006302,0.142808161,40,-0.286641455,0.286641455
No. Characters,Less,More,More - Less,0.545734725,0.154841829,32,East_Indonesian,IDN,East,Indonesian,0.823732515,0.092632343,32,-0.277997791,0.277997791
No. Characters,Less,More,More - Less,0.545734725,0.154841829,32,West_Italian,ITA,West,Italian,0.823732515,0.092632343,32,-0.277997791,0.277997791
Social Status,Low,High,High - Low,0.68276309,0.127514801,32,East_Chinese,CHN,East,Chinese,0.413631934,0.161542027,32,0.269131155,0.269131155
Social Status,Low,High,High - Low,0.68276309,0.127514801,32,East_Emirati,ARE,East,Emirati,0.413631934,0.161542027,32,0.269131155,0.269131155
Social Status,Low,High,High - Low,0.68276309,0.127514801,32,East_Indian,IND,East,Indian,0.413631934,0.161542027,32,0.269131155,0.269131155
Social Status,Low,High,High - Low,0.68276309,0.127514801,32,East_Indonesian,IDN,East,Indonesian,0.413631934,0.161542027,32,0.269131155,0.269131155
Social Status,Low,High,High - Low,0.68276309,0.127514801,32,East_Korean,KOR,East,Korean,0.413631934,0.161542027,32,0.269131155,0.269131155
Social Status,Low,High,High - Low,0.68276309,0.127514801,32,East_Malaysian,MYS,East,Malaysian,0.413631934,0.161542027,32,0.269131155,0.269131155
Social Status,Low,High,High - Low,0.68276309,0.127514801,32,East_SaudiArabian,SAU,East,SaudiArabian,0.413631934,0.161542027,32,0.269131155,0.269131155
