Effect,ReferenceLevel,ComparedLevel,Contrast,East,West,EastMinusWest,AbsEastMinusWest
Age,Elderly,Young,Young - Elderly,0.237633223451149,0.273038230529065,-0.0354050070779154,0.0354050070779154
Fitness,Large,Fit,Fit - Large,-0.0539709081665828,-0.0498431608652263,-0.00412774730135658,0.00412774730135658
Gender,Male,Female,Female - Male,0.219841258605795,0.212187394677458,0.00765386392833753,0.00765386392833753
Intervention,Omission,Commission,Commission - Omission,0.261460033284217,0.274253462143177,-0.0127934288589598,0.0127934288589598
Law,Illegal,Legal,Legal - Illegal,0.675321336760927,0.656812339331621,0.0185089974293062,0.0185089974293062
No. Characters,Less,More,More - Less,0.656909719663627,0.606584240236079,0.0503254794275485,0.0503254794275485
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.372666708621474,0.351646234941079,0.0210204736803956,0.0210204736803956
Social Status,Low,High,High - Low,0.281512792159716,0.294167842929218,-0.012655050769502,0.012655050769502
Species,Pets,Humans,Humans - Pets,0.827279607016862,0.796659503273692,0.0306201037431699,0.0306201037431699
