Effect,UserCountry3,PersonaGroup,PersonaCluster,PersonaNationality,HumanEstimate,HumanSE,NeutralEstimate,NeutralSE,NeutralN,BaselineDifferenceFromHuman,BaselineAbsDifferenceFromHuman,BaselineSquaredDifferenceFromHuman
Age,ARE,East_Emirati,East,Emirati,0.44720424,0.012422584,0.23978344594345,0.0757710248286196,160,-0.20742079405655,0.20742079405655,0.0430233858070497
Age,AUS,West_Australian,West,Australian,0.50152598,0.002772133,0.23978344594345,0.0757710248286196,160,-0.26174253405655,0.26174253405655,0.0685091541343443
Age,BRA,West_Brazilian,West,Brazilian,0.471815331,0.001951296,0.23978344594345,0.0757710248286196,160,-0.23203188505655,0.23203188505655,0.053838795682896
Age,CAN,West_Canadian,West,Canadian,0.50660609,0.002908917,0.23978344594345,0.0757710248286196,160,-0.26682264405655,0.26682264405655,0.0711943233813284
Age,CHN,East_Chinese,East,Chinese,0.353739928,0.009584414,0.23978344594345,0.0757710248286196,160,-0.11395648205655,0.11395648205655,0.0129860798027048
Age,DEU,West_German,West,German,0.478149581,0.00180123,0.23978344594345,0.0757710248286196,160,-0.23836613505655,0.23836613505655,0.0568184143417974
Age,ESP,West_Spanish,West,Spanish,0.511039962,0.003011661,0.23978344594345,0.0757710248286196,160,-0.27125651605655,0.27125651605655,0.0735800975031374
Age,GBR,West_British,West,British,0.502950369,0.001974038,0.23978344594345,0.0757710248286196,160,-0.26316692305655,0.26316692305655,0.0692568293910521
Age,HKG,East_HongKonger,East,HongKonger,0.376798765,0.007611679,0.23978344594345,0.0757710248286196,160,-0.13701531905655,0.13701531905655,0.0187731976561682
Age,IDN,East_Indonesian,East,Indonesian,0.402001004,0.008767082,0.23978344594345,0.0757710248286196,160,-0.16221755805655,0.16221755805655,0.0263145361418302
Age,IND,East_Indian,East,Indian,0.410941923,0.007022271,0.23978344594345,0.0757710248286196,160,-0.17115847705655,0.17115847705655,0.0292952242683176
Age,ITA,West_Italian,West,Italian,0.546147923,0.002916602,0.23978344594345,0.0757710248286196,160,-0.30636447705655,0.30636447705655,0.0938591928021333
Age,JPN,East_Japanese,East,Japanese,0.40006409,0.003101169,0.23978344594345,0.0757710248286196,160,-0.16028064405655,0.16028064405655,0.0256898848591825
Age,KOR,East_Korean,East,Korean,0.378117869,0.006940137,0.23978344594345,0.0757710248286196,160,-0.13833442305655,0.13833442305655,0.0191364126023886
Age,MYS,East_Malaysian,East,Malaysian,0.389846978,0.009549464,0.23978344594345,0.0757710248286196,160,-0.15006353205655,0.15006353205655,0.0225190636532872
Age,POL,West_Polish,West,Polish,0.467292833,0.002840937,0.23978344594345,0.0757710248286196,160,-0.22750938705655,0.22750938705655,0.0517605211988471
Age,RUS,West_Russian,West,Russian,0.449177027,0.002413175,0.23978344594345,0.0757710248286196,160,-0.20939358105655,0.20939358105655,0.043845671787686
Age,SAU,East_SaudiArabian,East,SaudiArabian,0.373165006,0.011840697,0.23978344594345,0.0757710248286196,160,-0.13338156005655,0.13338156005655,0.0177906405631191
Age,TWN,East_Taiwanese,East,Taiwanese,0.345241775,0.006788459,0.23978344594345,0.0757710248286196,160,-0.10545832905655,0.10545832905655,0.0111214591673996
Age,USA,West_American,West,American,0.490754563,0.001318415,0.23978344594345,0.0757710248286196,160,-0.25097111705655,0.25097111705655,0.0629865015966125
Fitness,ARE,East_Emirati,East,Emirati,0.118927539,0.012939887,-0.15534725330441,0.0842615914118201,132,-0.27427479230441,0.27427479230441,0.0752266616936272
Fitness,AUS,West_Australian,West,Australian,0.191460181,0.002905516,-0.15534725330441,0.0842615914118201,132,-0.34680743430441,0.34680743430441,0.120275396488808
Fitness,BRA,West_Brazilian,West,Brazilian,0.088107013,0.002084424,-0.15534725330441,0.0842615914118201,132,-0.24345426630441,0.24345426630441,0.0592699797818186
Fitness,CAN,West_Canadian,West,Canadian,0.190256145,0.002435636,-0.15534725330441,0.0842615914118201,132,-0.34560339830441,0.34560339830441,0.119441708919557
Fitness,CHN,East_Chinese,East,Chinese,0.131550503,0.009964288,-0.15534725330441,0.0842615914118201,132,-0.28689775630441,0.28689775630441,0.0823103225725046
Fitness,DEU,West_German,West,German,0.14244207,0.001886138,-0.15534725330441,0.0842615914118201,132,-0.29778932330441,0.29778932330441,0.0886784810740984
Fitness,ESP,West_Spanish,West,Spanish,0.152242319,0.003026853,-0.15534725330441,0.0842615914118201,132,-0.30758957230441,0.30758957230441,0.0946113449904099
Fitness,GBR,West_British,West,British,0.196541636,0.002110709,-0.15534725330441,0.0842615914118201,132,-0.35188888930441,0.35188888930441,0.123825790415891
Fitness,HKG,East_HongKonger,East,HongKonger,0.148795068,0.007915836,-0.15534725330441,0.0842615914118201,132,-0.30414232130441,0.30414232130441,0.092502551608435
Fitness,IDN,East_Indonesian,East,Indonesian,0.159530681,0.009269139,-0.15534725330441,0.0842615914118201,132,-0.31487793430441,0.31487793430441,0.0991481135118124
Fitness,IND,East_Indian,East,Indian,0.12704069,0.007262828,-0.15534725330441,0.0842615914118201,132,-0.28238794330441,0.28238794330441,0.0797429505236947
Fitness,ITA,West_Italian,West,Italian,0.172611745,0.003230882,-0.15534725330441,0.0842615914118201,132,-0.32795899830441,0.32795899830441,0.107557104568832
Fitness,JPN,East_Japanese,East,Japanese,0.12445473,0.003166826,-0.15534725330441,0.0842615914118201,132,-0.27980198330441,0.27980198330441,0.0782891498610813
Fitness,KOR,East_Korean,East,Korean,0.106006478,0.006962088,-0.15534725330441,0.0842615914118201,132,-0.26135373130441,0.26135373130441,0.0683057728667377
Fitness,MYS,East_Malaysian,East,Malaysian,0.146604761,0.010493838,-0.15534725330441,0.0842615914118201,132,-0.30195201430441,0.30195201430441,0.0911750189424906
Fitness,POL,West_Polish,West,Polish,0.152242478,0.003072617,-0.15534725330441,0.0842615914118201,132,-0.30758973130441,0.30758973130441,0.0946114428039191
Fitness,RUS,West_Russian,West,Russian,0.156272962,0.002515582,-0.15534725330441,0.0842615914118201,132,-0.31162021530441,0.31162021530441,0.0971071585863668
Fitness,SAU,East_SaudiArabian,East,SaudiArabian,0.08229366,0.012740378,-0.15534725330441,0.0842615914118201,132,-0.23764091330441,0.23764091330441,0.0564732036761541
Fitness,TWN,East_Taiwanese,East,Taiwanese,0.130986749,0.006983797,-0.15534725330441,0.0842615914118201,132,-0.28633400230441,0.28633400230441,0.0819871608756619
Fitness,USA,West_American,West,American,0.176191071,0.001020982,-0.15534725330441,0.0842615914118201,132,-0.33153832430441,0.33153832430441,0.109917660482576
Gender,ARE,East_Emirati,East,Emirati,0.117194536,0.012843878,0.083085439076499,0.0688425988723143,198,-0.034109096923501,0.034109096923501,0.00116343049293679
Gender,AUS,West_Australian,West,Australian,0.110603367,0.002791139,0.083085439076499,0.0688425988723143,198,-0.027517927923501,0.027517927923501,0.000757236357202996
Gender,BRA,West_Brazilian,West,Brazilian,0.146003101,0.002015738,0.083085439076499,0.0688425988723143,198,-0.062917661923501,0.062917661923501,0.00395863218191997
Gender,CAN,West_Canadian,West,Canadian,0.113371309,0.002418591,0.083085439076499,0.0688425988723143,198,-0.030285869923501,0.030285869923501,0.000917233917023223
Gender,CHN,East_Chinese,East,Chinese,0.103895206,0.009532089,0.083085439076499,0.0688425988723143,198,-0.020809766923501,0.020809766923501,0.000433046399410437
Gender,DEU,West_German,West,German,0.094736646,0.001849531,0.083085439076499,0.0688425988723143,198,-0.011651206923501,0.011651206923501,0.000135750622774238
Gender,ESP,West_Spanish,West,Spanish,0.130620426,0.002848173,0.083085439076499,0.0688425988723143,198,-0.047534986923501,0.047534986923501,0.00225957498181741
Gender,GBR,West_British,West,British,0.096612764,0.002034295,0.083085439076499,0.0688425988723143,198,-0.013527324923501,0.013527324923501,0.000182988519585971
Gender,HKG,East_HongKonger,East,HongKonger,0.059300481,0.007468899,0.083085439076499,0.0688425988723143,198,0.023784958076499,0.023784958076499,0.000565724230700815
Gender,IDN,East_Indonesian,East,Indonesian,0.102064334,0.008786736,0.083085439076499,0.0688425988723143,198,-0.018978894923501,0.018978894923501,0.000360198452517292
Gender,IND,East_Indian,East,Indian,0.123460926,0.007054397,0.083085439076499,0.0688425988723143,198,-0.040375486923501,0.040375486923501,0.0016301799443098
Gender,ITA,West_Italian,West,Italian,0.114895433,0.003152363,0.083085439076499,0.0688425988723143,198,-0.031809993923501,0.031809993923501,0.00101187571341317
Gender,JPN,East_Japanese,East,Japanese,0.094794482,0.003090059,0.083085439076499,0.0688425988723143,198,-0.011709042923501,0.011709042923501,0.000137101686184389
Gender,KOR,East_Korean,East,Korean,0.121054384,0.006838476,0.083085439076499,0.0688425988723143,198,-0.037968944923501,0.037968944923501,0.00144164077860385
Gender,MYS,East_Malaysian,East,Malaysian,0.099458326,0.009654075,0.083085439076499,0.0688425988723143,198,-0.016372886923501,0.016372886923501,0.00026807142620975
Gender,POL,West_Polish,West,Polish,0.087144091,0.002950284,0.083085439076499,0.0688425988723143,198,-0.00405865192350101,0.00405865192350101,1.64726554361384e-05
Gender,RUS,West_Russian,West,Russian,0.037161347,0.002550194,0.083085439076499,0.0688425988723143,198,0.045924092076499,0.045924092076499,0.00210902223305076
Gender,SAU,East_SaudiArabian,East,SaudiArabian,0.049157885,0.011868923,0.083085439076499,0.0688425988723143,198,0.033927554076499,0.033927554076499,0.00115107892561376
Gender,TWN,East_Taiwanese,East,Taiwanese,0.093213523,0.006500626,0.083085439076499,0.0688425988723143,198,-0.010128083923501,0.010128083923501,0.00010257808396148
Gender,USA,West_American,West,American,0.120597766,0.001034121,0.083085439076499,0.0688425988723143,198,-0.037512326923501,0.037512326923501,0.00140717467121562
Intervention,ARE,East_Emirati,East,Emirati,0.037075505,0.005299486,0.186344012407312,0.0316017869908844,950,0.149268507407312,0.149268507407312,0.0222810873036068
Intervention,AUS,West_Australian,West,Australian,0.075184524,0.00131647,0.186344012407312,0.0316017869908844,950,0.111159488407312,0.111159488407312,0.0123564318629753
Intervention,BRA,West_Brazilian,West,Brazilian,0.030195531,0.000822651,0.186344012407312,0.0316017869908844,950,0.156148481407312,0.156148481407312,0.0243823482458097
Intervention,CAN,West_Canadian,West,Canadian,0.067428866,0.001759233,0.186344012407312,0.0316017869908844,950,0.118915146407312,0.118915146407312,0.0141408120450724
Intervention,CHN,East_Chinese,East,Chinese,0.085178684,0.004436312,0.186344012407312,0.0316017869908844,950,0.101165328407312,0.101165328407312,0.0102344236717593
Intervention,DEU,West_German,West,German,0.083826994,0.000891727,0.186344012407312,0.0316017869908844,950,0.102517018407312,0.102517018407312,0.0105097390631251
Intervention,ESP,West_Spanish,West,Spanish,0.044816578,0.001287872,0.186344012407312,0.0316017869908844,950,0.141527434407312,0.141527434407312,0.020030014689916
Intervention,GBR,West_British,West,British,0.075417185,0.000965342,0.186344012407312,0.0316017869908844,950,0.110926827407312,0.110926827407312,0.0123047610386516
Intervention,HKG,East_HongKonger,East,HongKonger,0.07627871,0.003466843,0.186344012407312,0.0316017869908844,950,0.110065302407312,0.110065302407312,0.012114370794013
Intervention,IDN,East_Indonesian,East,Indonesian,0.039658528,0.003957367,0.186344012407312,0.0316017869908844,950,0.146685484407312,0.146685484407312,0.0215166313358078
Intervention,IND,East_Indian,East,Indian,0.059772808,0.003005047,0.186344012407312,0.0316017869908844,950,0.126571204407312,0.126571204407312,0.0160202697851176
Intervention,ITA,West_Italian,West,Italian,0.046622997,0.001314551,0.186344012407312,0.0316017869908844,950,0.139721015407312,0.139721015407312,0.0195219621464503
Intervention,JPN,East_Japanese,East,Japanese,0.073653685,0.001489797,0.186344012407312,0.0316017869908844,950,0.112690327407312,0.112690327407312,0.0126991098911672
Intervention,KOR,East_Korean,East,Korean,0.061313549,0.003288244,0.186344012407312,0.0316017869908844,950,0.125030463407312,0.125030463407312,0.0156326167798472
Intervention,MYS,East_Malaysian,East,Malaysian,0.050209877,0.004297733,0.186344012407312,0.0316017869908844,950,0.136134135407312,0.136134135407312,0.0185325028230964
Intervention,POL,West_Polish,West,Polish,0.055484178,0.00126426,0.186344012407312,0.0316017869908844,950,0.130859834407312,0.130859834407312,0.0171242962611091
Intervention,RUS,West_Russian,West,Russian,0.067780932,0.00110039,0.186344012407312,0.0316017869908844,950,0.118563080407312,0.118563080407312,0.0140572040356707
Intervention,SAU,East_SaudiArabian,East,SaudiArabian,0.026805334,0.004809706,0.186344012407312,0.0316017869908844,950,0.159538678407312,0.159538678407312,0.0254525899079517
Intervention,TWN,East_Taiwanese,East,Taiwanese,0.075286482,0.003076446,0.186344012407312,0.0316017869908844,950,0.111057530407312,0.111057530407312,0.012333775060171
Intervention,USA,West_American,West,American,0.067244816,0.000571089,0.186344012407312,0.0316017869908844,950,0.119099196407312,0.119099196407312,0.0141846185848675
Law,ARE,East_Emirati,East,Emirati,0.357703654,0.010400346,0.750642673521852,0.0424719439085589,244,0.392939019521852,0.392939019521852,0.154401073062794
Law,AUS,West_Australian,West,Australian,0.330606998,0.002466845,0.750642673521852,0.0424719439085589,244,0.420035675521852,0.420035675521852,0.176429968711099
Law,BRA,West_Brazilian,West,Brazilian,0.366954133,0.001744232,0.750642673521852,0.0424719439085589,244,0.383688540521852,0.383688540521852,0.147216896127789
Law,CAN,West_Canadian,West,Canadian,0.335172447,0.002674782,0.750642673521852,0.0424719439085589,244,0.415470226521852,0.415470226521852,0.172615509126119
Law,CHN,East_Chinese,East,Chinese,0.396378484,0.008605024,0.750642673521852,0.0424719439085589,244,0.354264189521852,0.354264189521852,0.125503115977575
