PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,EuclideanDistanceFromNeutral,RMSEFromNeutral,MeanAbsoluteDifferenceFromNeutral,ComparedEffects
West_German,DEU,West,German,0.19580406058453,0.0652680201948432,0.0490404567072549,9
East_Malaysian,MYS,East,Malaysian,0.240414818920374,0.0801382729734579,0.0684707869070381,9
East_Japanese,JPN,East,Japanese,0.257918712941254,0.0859729043137512,0.0773218313324517,9
East_SaudiArabian,SAU,East,SaudiArabian,0.263514159913887,0.0878380533046288,0.0806331185267689,9
West_Polish,POL,West,Polish,0.266764590879476,0.0889215302931588,0.0802938711404888,9
West_Brazilian,BRA,West,Brazilian,0.274168599676247,0.0913895332254155,0.0724357856379162,9
East_Indian,IND,East,Indian,0.285278694948096,0.0950928983160319,0.0739770882176879,9
East_Korean,KOR,East,Korean,0.331458589425948,0.110486196475316,0.0906317841326741,9
West_Italian,ITA,West,Italian,0.331696714223077,0.110565571407692,0.0978164771052196,9
East_Emirati,ARE,East,Emirati,0.339680451415759,0.113226817138586,0.0925436903723396,9
West_Australian,AUS,West,Australian,0.345891924117678,0.115297308039226,0.0984582271120371,9
East_Taiwanese,TWN,East,Taiwanese,0.35178569694167,0.117261898980557,0.0888282217980007,9
West_Russian,RUS,West,Russian,0.352974943161483,0.117658314387161,0.110712918516848,9
West_American,USA,West,American,0.368562287524297,0.122854095841432,0.108247539989703,9
East_HongKonger,HKG,East,HongKonger,0.402540190217158,0.134180063405719,0.101248264896017,9
West_British,GBR,West,British,0.412550470203017,0.137516823401006,0.11492664351298,9
East_Indonesian,IDN,East,Indonesian,0.422104341702807,0.140701447234269,0.117533479522282,9
West_Canadian,CAN,West,Canadian,0.453420783237261,0.151140261079087,0.130667165959722,9
East_Chinese,CHN,East,Chinese,0.473790170720187,0.157930056906729,0.137831118633156,9
West_Spanish,ESP,West,Spanish,0.525022725118278,0.175007575039426,0.162284333278723,9
